Class	Term	Median	Grade
ENGL015	20F	A-	B+
MATH011	20F	A-	A-
PHYS013	20F	A	B
FREN002	21W	A-	A-
WRIT005.26	21W	A	A
COLT07.19	21S	A-	A-
FREN003	21S	A-	A
MATH023	21S	B+	NR
AAAS011	21F	A	A
ECON01	21F	B+	B+
THEA40	21F	A	A
ECON20	22W	B+	B-
PHIL01.18	22W	A	A
THEA016	22W	A	A
ECON021	22S	B+	B+
QSS017	22S	B+	B-
MUS50.43	22S	A-	A
THEA017	22S	A	B+
THEA062	22X	B+	A
ECON025	22F	B+	B
THEA015	22F	A	A
QSS020	22F	A-	A-
THEA080	23W	A	TBD
ECON035	23W	B+	TBD
ECON022	23W	B+	TBD
MUS020	23F	A	TBD
THEA080	23F	A	TBD
THEA90	23F	A	TBD
EARS14	24W	A	TBD
THEA91	24W	A	TBD
QSS81	24W	A	TBD
ECON65	24S	A-	TBD
THEA92	24S	A	TBD
QSS30.04	24S	A	TBD
